,title,year,disneyplus_url
0,Star Wars: A New Hope,1977,https://www.disneyplus.com/video/f4add311-5f2a-4d79-a6c3-588a1765b7d9
1,Star Wars: The Empire Strikes Back,1980,https://www.disneyplus.com/video/90ff6e09-afd3-4d46-a2cb-80e3767e67ea
2,The Lion King,1994,https://www.disneyplus.com/video/87982e2b-5636-41a2-9d9a-5bc77cacb7d7
3,The Avengers,2012,https://www.disneyplus.com/video/c05ea526-1378-4e4b-a38e-a29968cc0def
4,Toy Story,1995,https://www.disneyplus.com/video/eccdbdc5-7767-448e-be14-74647b128ca9
5,Avengers: Endgame,2019,https://www.disneyplus.com/video/aa2c93d5-6e09-4e2b-84ae-9f0773cc0238
6,WALL·E,2008,https://www.disneyplus.com/video/825ef1dd-24fe-4f32-90a0-adc5e94a8023
7,Up,2009,https://www.disneyplus.com/video/6a45dca1-b196-4891-bd98-f8dd5098518f
8,Guardians of the Galaxy,2014,https://www.disneyplus.com/video/04667710-5866-4a77-be5d-a9f7265bdb5c
9,Finding Nemo,2003,https://www.disneyplus.com/video/7d1b7852-f2ce-4ccb-a73f-5d7eba132bb2
10,Coco,2017,https://www.disneyplus.com/video/4ccb6027-d7ca-4b81-8c70-43ac08f92bbd
11,Toy Story 3,2010,https://www.disneyplus.com/video/ea032f8d-f213-4555-b598-a8b38249804a
12,Inside Out,2015,https://www.disneyplus.com/video/0d7dbe67-9eb6-4320-909a-ef2d55211123
13,"Monsters, Inc.",2001,https://www.disneyplus.com/video/c27abdc6-ea57-450a-af80-60d33584f438
14,Star Wars: Return of the Jedi,1983,https://www.disneyplus.com/video/1b9be263-68b4-44bd-a358-9760c53f7737
15,Zootopia,2016,https://www.disneyplus.com/video/6dfdd061-195f-46bc-94ae-f71ce11debcb
16,The Princess Bride,1987,https://www.disneyplus.com/video/f464a427-f39b-4c20-bd29-be0cc2f17e88
17,Ratatouille,2007,https://www.disneyplus.com/video/73265701-be28-4b0b-82f4-872e3505e982
18,Aladdin,1992,https://www.disneyplus.com/video/c9fd8fa3-fa17-4456-9b37-a5427e308f0e
19,Beauty and the Beast,1991,https://www.disneyplus.com/video/8b998fae-f7a6-434a-a8c2-79d853247782
20,The Incredibles,2004,https://www.disneyplus.com/video/65509160-a48d-4ee1-979e-ed9b8c32a8d9
21,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://www.disneyplus.com/video/66488bb4-9782-4a9a-b199-7b3f926c911d
22,The Nightmare Before Christmas,1993,https://www.disneyplus.com/video/5c765c2c-cf09-44ca-b5f1-d2697f3da620
23,Free Solo,2018,https://www.disneyplus.com/video/83bbd786-ff66-4440-b5e1-021f9ceccaa9
24,The Sound of Music,1965,https://www.disneyplus.com/video/3c32dadb-26a6-4fcc-a7d9-db712425a4a9
25,Togo,2019,https://www.disneyplus.com/video/58965253-5387-4b68-8f99-28f96b19005d
26,The Straight Story,1999,https://www.disneyplus.com/video/4ebafebb-d174-42ae-ad41-3b71db3354bf
27,Mickey's Christmas Carol,1983,https://www.disneyplus.com/video/dec7fca2-7b4d-45ce-a9f9-93c5cd63cdf2
28,Before the Flood,2016,https://www.disneyplus.com/video/396358e4-ea99-477f-aa39-a21d17689adf
29,Empire of Dreams: The Story of the Star Wars Trilogy,2004,https://www.disneyplus.com/video/46be4e3f-1c28-4486-a5a0-8399064fb9f3
30,Newsies: The Broadway Musical,2017,https://www.disneyplus.com/video/dcbc9a3e-4467-42bb-8998-fe62b0847a8b
31,Kitbull,2019,https://www.disneyplus.com/movies/kitbull/48I9ePWUtfW1
32,The Disney Family Singalong,2020,https://www.disneyplus.com/video/68483a07-5512-4394-93b7-b20a5ee6f627
33,Phineas and Ferb: Star Wars,2014,https://www.disneyplus.com/video/293e26ef-bb78-463c-9ab1-5e140d6181a7
34,Phineas and Ferb: Mission Marvel,2013,https://www.disneyplus.com/video/28dd1759-a6e0-4e28-8767-7193a492066c
35,Expedition Mars,2016,https://www.disneyplus.com/video/f171e211-f544-4a67-acae-2127babb54b1
36,Prowlers of the Everglades,1953,https://www.disneyplus.com/video/13ac5f7a-b646-41a8-8605-4fdf6e84d7c7
37,The Flood,2018,https://www.disneyplus.com/video/d11a9dfc-db05-452d-a4f7-bbb62decd907
