,title,year,hulu_url
0,The Dark Knight,2008,https://www.hulu.com/watch/2ce6365a-46e7-43d9-8d77-5b84753a663c
1,GoodFellas,1990,https://www.hulu.com/watch/01d5fb21-5896-420b-9346-9667bfc235d4
2,Parasite,2019,https://www.hulu.com/watch/2fd691a0-f66b-467f-8635-00d7f151f3d4
3,Good Will Hunting,1997,https://www.hulu.com/watch/good-will-hunting-0bf6e2a3-4a3f-40f3-b0c3-5e108ff8ffab
4,The Green Mile,1999,https://www.hulu.com/watch/e794ff67-db78-4ff0-b148-f251f3c1a171
5,Batman Begins,2005,https://www.hulu.com/watch/4dee2ca2-a81a-4988-8fe5-952637acbb5d
6,Grave of the Fireflies,1988,https://www.hulu.com/watch/6887a224-9db8-4eb0-b052-b9f5d53789c6
7,Kill Bill: Vol. 1,2003,https://www.hulu.com/watch/91101089-b0d6-430e-b967-b18e81b416c0
8,Kill Bill: Vol. 2,2004,https://www.hulu.com/watch/d79041c1-dd27-42d5-ac13-1fad14f8d5e8
9,Warrior,2011,https://www.hulu.com/watch/59b05290-3dc3-4a68-a37e-dae176ea4e12
10,Akira,1988,https://www.hulu.com/watch/7a8680eb-a5fe-461d-a87f-998c278f624e
11,The Graduate,1967,https://www.hulu.com/watch/bfe65adb-a6bb-4d05-b264-bba39aa7045a
12,Portrait of a Lady on Fire,2019,https://www.hulu.com/watch/d514447d-1954-4bf8-8164-fa3d6fdfe73f
13,Free Solo,2018,https://www.hulu.com/watch/5bc87ba3-cda0-4f46-b81c-4c3ea170e9d1
14,Shoplifters,2018,https://www.hulu.com/watch/66391a03-6d2c-4876-90d1-bb820b7bea2b
15,Blackfish,2013,https://www.hulu.com/watch/e9f8aeca-b88f-4eef-9789-9ae47e62f966
16,Apollo 11,2019,https://www.hulu.com/watch/8d0f469b-c184-488e-aff7-3bd206d94a14
17,Honeyland,2019,https://www.hulu.com/watch/3c74b61a-71f5-4ca0-8a65-7bfbcda9ad7b
18,Nobody Knows,2004,https://www.hulu.com/watch/ec490a08-7d17-4ed1-96c7-f95fe6137eb5
19,Minding the Gap,2019,https://www.hulu.com/watch/efcd9be9-9541-46b4-abbc-dd8b0606b304
20,The Biggest Little Farm,2019,https://www.hulu.com/watch/1c7a56bb-8f99-4f61-912a-9fff34996590
21,Turtles Can Fly,2005,https://www.hulu.com/watch/914f0355-430e-4a28-8152-0154b03dbca5
22,Andy Irons: Kissed by God,2018,https://www.hulu.com/watch/60dbaaf4-6abb-4cf4-959f-9f4b896f4e9a
23,Larger than Life: The Kevyn Aucoin Story,2017,https://www.hulu.com/watch/f40e2422-0b1c-475c-81ce-1da398fe2e05
24,The Lorax,1972,https://www.hulu.com/watch/35d313e6-79db-4c41-befe-fb0ea946d31a
25,Tiny Toon Adventures: How I Spent My Vacation,1992,https://www.hulu.com/watch/378a7c4d-2de7-4a49-a374-efdf1283ce3a
26,Batman & Bill,2017,https://www.hulu.com/watch/74e2e518-151c-4ee0-9635-1dfdf551374a
27,Who Let the Dogs Out,2019,https://www.hulu.com/watch/a45bc8aa-aa3c-415d-ae97-b1364d96ff8e
28,Dark Shadows: The Haunting of Collinwood,2009,https://www.hulu.com/watch/28f8a783-13da-464f-8d7d-b5e0dec9499d
29,Tell Them Anything You Want: A Portrait of Maurice Sendak,2009,https://www.hulu.com/watch/30d54e10-b927-4f8d-8e7b-86f2602085bf
30,Beers of Joy,2019,https://www.hulu.com/watch/7acc7eb2-f07c-47b5-ac83-cf722ac8b4ac
31,Big Voice,2015,https://www.hulu.com/watch/2c01eed6-4303-4a3d-b5be-2a96b2ec0fdf
32,Brad Paisley Thinks He's Special,2019,https://www.hulu.com/watch/brad-paisley-thinks-hes-special-ea82452d-45ef-44b9-9e82-2ebc28e28642
33,Monkey Business: The Adventures of Curious George's Creators,2017,https://www.hulu.com/watch/c9203c1a-0d88-4350-b96d-227358d312fd
